,column_name,no_results(duplicates),no_results(no duplicates),results,vocab_list
27,mgd id,22,12,"['http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM', 'http://data.bioontology.org/ontologies/HUGO']"
28,rgd id,22,12,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
29,lsdb,0,0,[],[]
30,cosmic,2,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#COSMIC_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#COSMIC_LINK']",['http://data.bioontology.org/ontologies/HUGO']
31,omim id,22,12,"['http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM', 'http://data.bioontology.org/ontologies/HUGO']"
32,mirbase,0,0,[],[]
33,homeodb,0,0,[],[]
34,snornabase,0,0,[],[]
35,bioparadigms slc,0,0,[],[]
36,orphanet,2,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Orphanet_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Orphanet_LINK']",['http://data.bioontology.org/ontologies/HUGO']
37,pseudogene.org,0,0,[],[]
38,horde id,24,14,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Horde_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Horde_LINK', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
39,merops,2,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#MEROPS_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#MEROPS_LINK']",['http://data.bioontology.org/ontologies/HUGO']
40,imgt,2,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_LINK']",['http://data.bioontology.org/ontologies/HUGO']
41,iuphar,2,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IUPHAR_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IUPHAR_LINK']",['http://data.bioontology.org/ontologies/HUGO']
42,kznf gene catalog,8,8,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Gene_Family_Tag', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_']",['http://data.bioontology.org/ontologies/HUGO']
43,mamit-trnadb,0,0,[],[]
44,cd,2,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#CD_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#CD_LINK']",['http://data.bioontology.org/ontologies/HUGO']
45,lncrnadb,0,0,[],[]
46,enzyme id,23,13,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Enzyme_IDs', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
47,intermediate filament db,11,7,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Intermediate_Filament_DB_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Intermediate_Filament_DB_LINK', 'http://www.biopax.org/release/biopax-level3.owl#db', 'http://www.biopax.org/release/biopax-level3.owl#dbVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_ID', 'http://www.geneontology.org/formats/oboInOwl#hasDbXref', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_LINK']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO']"
48,rna central ids,6,6,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#piRNABank_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#snoRNABase_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#piRNABank_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#snoRNABase_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#miRNA_miRBase_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#miRNA_miRBase_LINK']",['http://data.bioontology.org/ontologies/HUGO']
